CITY/COMMUNITY**,Cases,Case Rate1,Deaths,Death Rate2
Unincorporated - Stevenson Ranch,90,429,0,0
Unincorporated - Sun Village,78,1292,0,0
Unincorporated - Sunrise Village,24,1852,0,0
Unincorporated - Twin Lakes/Oat Mountain,9,543,1,60
Unincorporated - Val Verde,36,1088,1,30
Unincorporated - Valencia,28,911,1,33
Unincorporated - Valinda,417,1784,3,13
Unincorporated - View Park/Windsor Hills,94,808,2,17
Unincorporated - Walnut Park,433,2682,5,31
Unincorporated - West Antelope Valley,3,199,0,0
Unincorporated - West Carson,220,996,11,50
Unincorporated - West Chatsworth,0,0,0,0
Unincorporated - West LA,29,3046,2,210
Unincorporated - West Puente Valley,231,2349,0,0
Unincorporated - West Rancho Dominguez,17,1251,2,147
Unincorporated - West Whittier/Los Nietos,532,1976,8,30
Unincorporated - Westfield/Academy Hills,3,231,0,0
Unincorporated - Westhills,7,834,0,0
Unincorporated - White Fence Farms,25,679,0,0
Unincorporated - Whittier,47,1242,0,0
Unincorporated - Whittier Narrows,0,0,0,0
Unincorporated - Willowbrook,837,2397,12,34
Unincorporated - Wiseburn,71,1178,0,0
-  Under Investigation,3946,,17,
